PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,FamilySize,Age_z,Fare_z,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,IsAlone_No,IsAlone_Yes
14,0,3,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,7,0.7402950960248805,-0.01869880977838891,0,1,0,0,1,1,0
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,1,-1.1798725439906075,-0.4900045872454856,1,0,0,0,1,0,1
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,1,1.9692023856347929,-0.32608351699632776,1,0,0,0,1,0,1
17,0,3,"Rice, Master. Eugene",2.0,4,1,382652,29.125,6,-2.1015530111980416,-0.061964087717411374,0,1,0,1,0,1,0
18,1,2,"Williams, Mr. Charles Eugene",28.0,0,0,244373,13.0,1,-0.10457866558193422,-0.38645367226008004,0,1,0,0,1,0,1
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,2,0.12584145121992435,-0.28583674682049287,1,0,0,0,1,1,0
20,1,3,"Masselmani, Mrs. Fatima",28.0,0,0,2649,7.225,1,-0.10457866558193422,-0.5026662211428032,1,0,1,0,0,0,1
21,0,2,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,1,0.4330682736224024,-0.12484966611715337,0,1,0,0,1,0,1
22,1,2,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,1,0.3562615680217829,-0.38645367226008004,0,1,0,0,1,0,1
23,1,3,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,1,-1.103065838389988,-0.48648299485510005,1,0,0,1,0,0,1
24,1,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,1,-0.10457866558193422,0.06632249221806229,0,1,0,0,1,0,1
25,0,3,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,5,-1.6407127775943247,-0.22395733767514675,1,0,0,0,1,1,0
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,7,0.663488390424261,-0.016434928955998185,1,0,0,0,1,1,0
27,0,3,"Emir, Mr. Farred Chehab",28.0,0,0,2631,7.225,1,-0.10457866558193422,-0.5026662211428032,0,1,1,0,0,0,1
28,0,1,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,263.0,6,-0.79583901598751,4.644392599719279,0,1,0,0,1,1,0
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",28.0,0,0,330959,7.8792,1,-0.10457866558193422,-0.4895015026182876,1,0,0,1,0,0,1
30,0,3,"Todoroff, Mr. Lalio",28.0,0,0,349216,7.8958,1,-0.10457866558193422,-0.4891674544258282,0,1,0,0,1,0,1
31,0,1,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,1,0.8171018016255001,-0.09022134505786503,0,1,1,0,0,0,1
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",28.0,1,0,PC 17569,146.5208,2,-0.10457866558193422,2.300436803386727,1,0,1,0,0,1,0
33,1,3,"Glynn, Miss. Mary Agatha",28.0,0,0,335677,7.75,1,-0.10457866558193422,-0.49210144397164657,1,0,0,1,0,0,1
34,0,2,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,10.5,1,2.8140761472416074,-0.43676213497987365,0,1,0,0,1,0,1
35,0,1,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,82.1708,2,-0.10457866558193422,1.0054969729792393,0,1,1,0,0,1,0
36,0,1,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,2,0.970715212826739,0.39835834616870003,0,1,0,0,1,1,0
37,1,3,"Mamee, Mr. Hanna",28.0,0,0,2677,7.2292,1,-0.10457866558193422,-0.502581702925434,0,1,1,0,0,0,1
38,0,3,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,1,-0.6422256047862709,-0.48606442844527137,0,1,0,0,1,0,1
39,0,3,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,3,-0.8726457215881294,-0.28583674682049287,1,0,0,0,1,1,0
40,1,3,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,2,-1.1798725439906075,-0.4218366202601652,1,0,1,0,0,1,0
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,2,0.8171018016255001,-0.457388604694989,1,0,0,0,1,1,0
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,2,-0.18138537118255374,-0.22546659155674054,1,0,0,0,1,1,0
43,0,3,"Kraeff, Mr. Theodor",28.0,0,0,349253,7.8958,1,-0.10457866558193422,-0.4891674544258282,0,1,1,0,0,0,1
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,4,-2.0247463055974224,0.18865657484452997,1,0,1,0,0,1,0
45,1,3,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,1,-0.79583901598751,-0.4895015026182876,1,0,0,1,0,0,1
46,0,3,"Rogers, Mr. William John",28.0,0,0,S.C./A.4. 23567,8.05,1,-0.10457866558193422,-0.48606442844527137,0,1,0,0,1,0,1
47,0,3,"Lennon, Mr. Denis",28.0,1,0,370371,15.5,2,-0.10457866558193422,-0.3361452095402864,0,1,0,1,0,1,0
48,1,3,"O'Driscoll, Miss. Bridget",28.0,0,0,14311,7.75,1,-0.10457866558193422,-0.49210144397164657,1,0,0,1,0,0,1
49,0,3,"Samaan, Mr. Youssef",28.0,2,0,2662,21.6792,3,-0.10457866558193422,-0.211798788405027,0,1,1,0,0,1,0
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,2,-0.8726457215881294,-0.28986142383807634,1,0,0,0,1,1,0
51,0,3,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,6,-1.717519483194944,0.15058916727371655,0,1,0,0,1,1,0
52,0,3,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,1,-0.6422256047862709,-0.49109527471725073,0,1,0,0,1,0,1
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,76.7292,2,1.5083621520310757,0.895993560684828,1,0,1,0,0,1,0
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,2,-0.027771959981314702,-0.12484966611715337,1,0,0,0,1,1,0
55,0,1,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,2,2.737269441640988,0.5991736306380456,0,1,1,0,0,1,0
56,1,1,"Woolner, Mr. Hugh",28.0,0,0,19947,35.5,1,-0.10457866558193422,0.06632249221806229,0,1,0,0,1,0,1
57,1,2,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,1,-0.6422256047862709,-0.43676213497987365,1,0,0,0,1,0,1
58,0,3,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,1,-0.06617531278162446,-0.502581702925434,0,1,1,0,0,0,1
59,1,2,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,4,-1.8711328943961831,-0.08963374221329785,1,0,0,0,1,1,0
60,0,3,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,8,-1.410292660792466,0.29572908222032107,0,1,0,0,1,1,0
61,0,3,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,1,-0.5654188991856514,-0.502581702925434,0,1,1,0,0,0,1
62,1,1,"Icard, Miss. Amelie",38.0,0,0,113572,80.0,1,0.663488390424261,0.9618131286303883,1,0,0,0,1,0,1
63,0,1,"Harris, Mr. Henry Birkhardt",45.0,1,0,36973,83.475,2,1.2011353296285976,1.0317418918109011,0,1,0,0,1,1,0
64,0,3,"Skoog, Master. Harald",4.0,3,2,347088,27.9,6,-1.9479395999968028,-0.08661523445011025,0,1,0,0,1,1,0
65,0,1,"Stewart, Mr. Albert A",28.0,0,0,PC 17605,27.7208,1,-0.10457866558193422,-0.09022134505786503,0,1,1,0,0,0,1
66,1,3,"Moubarek, Master. Gerios",28.0,1,1,2661,15.2458,3,-0.10457866558193422,-0.34126057402963506,0,1,1,0,0,1,0
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,10.5,1,-0.027771959981314702,-0.43676213497987365,1,0,0,0,1,0,1
68,0,3,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,8.1583,1,-0.79583901598751,-0.4838850658402499,0,1,0,0,1,0,1
69,1,3,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,7.925,7,-0.9494524271887489,-0.48857985158126105,1,0,0,0,1,1,0
70,0,3,"Kink, Mr. Vincenz",26.0,2,0,315151,8.6625,3,-0.25819207678317324,-0.4737388550789219,0,1,0,0,1,1,0
71,0,2,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,10.5,1,0.20264815682054385,-0.43676213497987365,0,1,0,0,1,0,1
72,0,3,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,46.9,8,-1.0262591327893684,0.29572908222032107,1,0,0,0,1,1,0
73,0,2,"Hood, Mr. Ambrose Jr",21.0,0,0,S.O.C. 14879,73.5,1,-0.6422256047862709,0.8310111255589249,0,1,0,0,1,0,1
74,0,3,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,14.4542,2,-0.25819207678317324,-0.3571902456652305,0,1,1,0,0,1,0
75,1,3,"Bing, Mr. Lee",32.0,0,0,1601,56.4958,1,0.20264815682054385,0.48882906084695926,0,1,0,0,1,0,1
76,0,3,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,7.65,1,-0.33499878238379277,-0.49411378248043836,0,1,0,0,1,0,1
77,0,3,"Staneff, Mr. Ivan",28.0,0,0,349208,7.8958,1,-0.10457866558193422,-0.4891674544258282,0,1,0,0,1,0,1
78,0,3,"Moutal, Mr. Rahamin Haim",28.0,0,0,374746,8.05,1,-0.10457866558193422,-0.48606442844527137,0,1,0,0,1,0,1
79,1,2,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29.0,3,-2.1914168567507666,-0.06447951085340105,0,1,0,0,1,1,0
80,1,3,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,12.475,1,0.04903474561930482,-0.39701844943123665,1,0,0,0,1,0,1
81,0,3,"Waelens, Mr. Achille",22.0,0,0,345767,9.0,1,-0.5654188991856514,-0.4669472126117498,0,1,0,0,1,0,1
82,1,3,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,9.5,1,-0.027771959981314702,-0.4568855200677911,0,1,0,0,1,0,1
83,1,3,"McDermott, Miss. Brigdet Delia",28.0,0,0,330932,7.7875,1,-0.10457866558193422,-0.49134681703084965,1,0,0,1,0,0,1
84,0,1,"Carrau, Mr. Francisco M",28.0,0,0,113059,47.1,1,-0.10457866558193422,0.2997537592379046,0,1,0,0,1,0,1
85,1,2,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,10.5,1,-0.9494524271887489,-0.43676213497987365,1,0,0,0,1,0,1
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,15.85,4,0.27945486242116335,-0.32910202475951533,1,0,0,0,1,1,0
87,0,3,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,34.375,5,-1.0262591327893684,0.043683683994155176,0,1,0,0,1,1,0
88,0,3,"Slocovski, Mr. Selman Francis",28.0,0,0,SOTON/OQ 392086,8.05,1,-0.10457866558193422,-0.48606442844527137,0,1,0,0,1,0,1
89,1,1,"Fortune, Miss. Mabel Helen",23.0,3,2,19950,263.0,6,-0.48861219358503183,4.644392599719279,1,0,0,0,1,1,0
90,0,3,"Celotti, Mr. Francesco",24.0,0,0,343275,8.05,1,-0.4118054879844123,-0.48606442844527137,0,1,0,0,1,0,1
91,0,3,"Christmann, Mr. Emil",29.0,0,0,343276,8.05,1,-0.027771959981314702,-0.48606442844527137,0,1,0,0,1,0,1
92,0,3,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,7.8542,1,-0.7190323103868904,-0.4900045872454856,0,1,0,0,1,0,1
93,0,1,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,61.175,2,1.2779420352292172,0.5829904043503424,0,1,0,0,1,1,0
94,0,3,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,20.575,4,-0.25819207678317324,-0.23401903021910547,0,1,0,0,1,1,0
95,0,3,"Coxon, Mr. Daniel",59.0,0,0,364500,7.25,1,2.276429208037271,-0.5021631365156053,0,1,0,0,1,0,1
96,0,3,"Shorney, Mr. Charles Joseph",28.0,0,0,374910,8.05,1,-0.10457866558193422,-0.48606442844527137,0,1,0,0,1,0,1
97,0,1,"Goldschmidt, Mr. George B",71.0,0,0,PC 17754,34.6542,1,3.198109675244705,0.04930213311070178,0,1,1,0,0,0,1
98,1,1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,63.3583,2,-0.48861219358503183,0.6269257910127927,0,1,1,0,0,1,0
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,23.0,2,0.3562615680217829,-0.18521982138090567,1,0,0,0,1,1,0
100,0,2,"Kantor, Mr. Sinai",34.0,1,0,244367,26.0,2,0.3562615680217829,-0.12484966611715337,0,1,0,0,1,1,0
101,0,3,"Petranec, Miss. Matilda",28.0,0,0,349245,7.8958,1,-0.10457866558193422,-0.4891674544258282,1,0,0,0,1,0,1
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",28.0,0,0,349215,7.8958,1,-0.10457866558193422,-0.4891674544258282,0,1,0,0,1,0,1
103,0,1,"White, Mr. Richard Frasar",21.0,0,1,35281,77.2875,2,-0.6422256047862709,0.907228446579412,0,1,0,0,1,1,0
104,0,3,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,8.6542,1,0.27945486242116335,-0.47390587917515165,0,1,0,0,1,0,1
105,0,3,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,7.925,3,0.5866816848236415,-0.48857985158126105,0,1,0,0,1,1,0
106,0,3,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,7.8958,1,-0.10457866558193422,-0.4891674544258282,0,1,0,0,1,0,1
107,1,3,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,7.65,1,-0.6422256047862709,-0.49411378248043836,1,0,0,0,1,0,1
108,1,3,"Moss, Mr. Albert Johan",28.0,0,0,312991,7.775,1,-0.10457866558193422,-0.4915983593444487,0,1,0,0,1,0,1
109,0,3,"Rekic, Mr. Tido",38.0,0,0,349249,7.8958,1,0.663488390424261,-0.4891674544258282,0,1,0,0,1,0,1
110,1,3,"Moran, Miss. Bertha",28.0,1,0,371110,24.15,2,-0.10457866558193422,-0.16207792852980066,1,0,0,1,0,1,0
111,0,1,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,1,1.3547487408298367,0.39835834616870003,0,1,0,0,1,0,1
112,0,3,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,2,-1.1414691911902977,-0.3571902456652305,1,0,1,0,0,1,0
113,0,3,"Barton, Mr. David John",22.0,0,0,324669,8.05,1,-0.5654188991856514,-0.48606442844527137,0,1,0,0,1,0,1
114,0,3,"Jussila, Miss. Katriina",20.0,1,0,4136,9.825,2,-0.7190323103868904,-0.45034541991421795,1,0,0,0,1,1,0
115,0,3,"Attalah, Miss. Malake",17.0,0,0,2627,14.4583,1,-0.9494524271887489,-0.35710773978637,1,0,1,0,0,0,1
116,0,3,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,7.925,1,-0.6422256047862709,-0.48857985158126105,0,1,0,0,1,0,1
117,0,3,"Connors, Mr. Patrick",70.5,0,0,370369,7.75,1,3.1597063224443955,-0.49210144397164657,0,1,0,1,0,0,1
118,0,2,"Turpin, Mr. William John Robert",29.0,1,0,11668,21.0,2,-0.027771959981314702,-0.22546659155674054,0,1,0,0,1,1,0
119,0,1,"Baxter, Mr. Quigg Edmond",24.0,0,1,PC 17558,247.5208,2,-0.4118054879844123,4.332898697266388,0,1,1,0,0,1,0
120,0,3,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,31.275,7,-2.1015530111980416,-0.01869880977838891,1,0,0,0,1,1,0
121,0,2,"Hickman, Mr. Stanley George",21.0,2,0,S.O.C. 14879,73.5,3,-0.6422256047862709,0.8310111255589249,0,1,0,0,1,1,0
122,0,3,"Moore, Mr. Leonard Charles",28.0,0,0,A4. 54510,8.05,1,-0.10457866558193422,-0.48606442844527137,0,1,0,0,1,0,1
123,0,2,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,2,0.24105150962085362,-0.04293139010125909,0,1,1,0,0,1,0
124,1,2,"Webber, Miss. Susan",32.5,0,0,27267,13.0,1,0.24105150962085362,-0.38645367226008004,1,0,0,0,1,0,1
125,0,1,"White, Mr. Percival Wayland",54.0,0,1,35281,77.2875,2,1.8923956800341732,0.907228446579412,0,1,0,0,1,1,0
126,1,3,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,11.2417,2,-1.3334859551918465,-0.4218366202601652,0,1,1,0,0,1,0
127,0,3,"McMahon, Mr. Martin",28.0,0,0,370372,7.75,1,-0.10457866558193422,-0.49210144397164657,0,1,0,1,0,0,1
128,1,3,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,7.1417,1,-0.4118054879844123,-0.5043424991206268,0,1,0,0,1,0,1
129,1,3,"Peter, Miss. Anna",28.0,1,1,2668,22.3583,3,-0.10457866558193422,-0.1981329975918223,1,0,1,0,0,1,0
130,0,3,"Ekstrom, Mr. Johan",45.0,0,0,347061,6.975,1,1.2011353296285976,-0.5076970674147826,0,1,0,0,1,0,1
131,0,3,"Drazenoic, Mr. Jozef",33.0,0,0,349241,7.8958,1,0.27945486242116335,-0.4891674544258282,0,1,1,0,0,0,1
132,0,3,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,7.05,1,-0.7190323103868904,-0.5061878135331888,0,1,0,0,1,0,1
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,14.5,2,1.3547487408298367,-0.35626859462820387,1,0,0,0,1,1,0
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,26.0,2,-0.027771959981314702,-0.12484966611715337,1,0,0,0,1,1,0
135,0,2,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,13.0,1,-0.33499878238379277,-0.38645367226008004,0,1,0,0,1,0,1
136,0,2,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,15.0458,1,-0.48861219358503183,-0.3452852510472186,0,1,1,0,0,0,1
137,1,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,3,-0.79583901598751,-0.11914871112174634,1,0,0,0,1,1,0
138,0,1,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,2,0.5866816848236415,0.4204940697654092,0,1,0,0,1,1,0
139,0,3,"Osen, Mr. Olaf Elon",16.0,0,0,7534,9.2167,1,-1.0262591327893684,-0.4625864750631981,0,1,0,0,1,0,1
140,0,1,"Giglio, Mr. Victor",24.0,0,0,PC 17593,79.2,1,-0.4118054879844123,0.9457144205600544,0,1,1,0,0,0,1
141,0,3,"Boulos, Mrs. Joseph (Sultana)",28.0,0,2,2678,15.2458,3,-0.10457866558193422,-0.34126057402963506,1,0,1,0,0,1,0
142,1,3,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,7.75,1,-0.5654188991856514,-0.49210144397164657,1,0,0,0,1,0,1
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,15.85,2,-0.4118054879844123,-0.32910202475951533,1,0,0,0,1,1,0
144,0,3,"Burke, Mr. Jeremiah",19.0,0,0,365222,6.75,1,-0.79583901598751,-0.512224829059564,0,1,0,1,0,0,1
145,0,2,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,11.5,1,-0.8726457215881294,-0.4166387498919562,0,1,0,0,1,0,1
146,0,2,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,36.75,3,-0.79583901598751,0.0914767235779591,0,1,0,0,1,1,0
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,7.7958,1,-0.18138537118255374,-0.49117979293462,0,1,0,0,1,0,1
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,34.375,5,-1.563906071993705,0.043683683994155176,1,0,0,0,1,1,0
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26.0,3,0.5482783320233316,-0.12484966611715337,0,1,0,0,1,1,0
150,0,2,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,244310,13.0,1,0.970715212826739,-0.38645367226008004,0,1,0,0,1,0,1
151,0,2,"Bateman, Rev. Robert James",51.0,0,0,S.O.P. 1166,12.525,1,1.6619755632323148,-0.39601228017684087,0,1,0,0,1,0,1
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",22.0,1,0,113776,66.6,2,-0.5654188991856514,0.6921597684522944,1,0,0,0,1,1,0
153,0,3,"Meo, Mr. Alfonzo",55.5,0,0,A.5. 11206,8.05,1,2.0076057384351027,-0.48606442844527137,0,1,0,0,1,0,1
154,0,3,"van Billiard, Mr. Austin Blyler",40.5,0,2,A/5. 851,14.5,3,0.8555051544258098,-0.35626859462820387,0,1,0,0,1,1,0
155,0,3,"Olsen, Mr. Ole Martin",28.0,0,0,Fa 265302,7.3125,1,-0.10457866558193422,-0.5009054249476105,0,1,0,0,1,0,1
156,0,1,"Williams, Mr. Charles Duane",51.0,0,1,PC 17597,61.3792,2,1.6619755632323148,0.5870995995852952,0,1,1,0,0,1,0
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",16.0,0,0,35851,7.7333,1,-1.0262591327893684,-0.4924375045026148,1,0,0,1,0,0,1
158,0,3,"Corn, Mr. Harry",30.0,0,0,SOTON/OQ 392090,8.05,1,0.04903474561930482,-0.48606442844527137,0,1,0,0,1,0,1
159,0,3,"Smiljanic, Mr. Mile",28.0,0,0,315037,8.6625,1,-0.10457866558193422,-0.4737388550789219,0,1,0,0,1,0,1
160,0,3,"Sage, Master. Thomas Henry",28.0,8,2,CA. 2343,69.55,11,-0.10457866558193422,0.751523754461651,0,1,0,0,1,1,0
161,0,3,"Cribb, Mr. John Hatfield",44.0,0,1,371362,16.1,2,1.1243286240279782,-0.32407117848753597,0,1,0,0,1,1,0
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,0,0,C.A. 33595,15.75,1,0.8171018016255001,-0.33111436326830707,1,0,0,0,1,0,1
163,0,3,"Bengtsson, Mr. John Viktor",26.0,0,0,347068,7.775,1,-0.25819207678317324,-0.4915983593444487,0,1,0,0,1,0,1
164,0,3,"Calic, Mr. Jovo",17.0,0,0,315093,8.6625,1,-0.9494524271887489,-0.4737388550789219,0,1,0,0,1,0,1
165,0,3,"Panula, Master. Eino Viljami",1.0,4,1,3101295,39.6875,6,-2.1783597167986612,0.15058916727371655,0,1,0,0,1,1,0
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",9.0,0,2,363291,20.525,3,-1.563906071993705,-0.23502519947350137,0,1,0,0,1,1,0
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",28.0,0,1,113505,55.0,2,-0.10457866558193422,0.4587285014324523,1,0,0,0,1,1,0
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,1,4,347088,27.9,6,1.2011353296285976,-0.08661523445011025,1,0,0,0,1,1,0
169,0,1,"Baumann, Mr. John D",28.0,0,0,PC 17318,25.925,1,-0.10457866558193422,-0.12635891999874715,0,1,0,0,1,0,1
170,0,3,"Ling, Mr. Lee",28.0,0,0,1601,56.4958,1,-0.10457866558193422,0.48882906084695926,0,1,0,0,1,0,1
171,0,1,"Van der hoef, Mr. Wyckoff",61.0,0,0,111240,33.5,1,2.43004261923851,0.026075722042227415,0,1,0,0,1,0,1
172,0,3,"Rice, Master. Arthur",4.0,4,1,382652,29.125,6,-1.9479395999968028,-0.061964087717411374,0,1,0,1,0,1,0
173,1,3,"Johnson, Miss. Eleanor Ileen",1.0,1,1,347742,11.1333,3,-2.1783597167986612,-0.42401799520369554,1,0,0,0,1,1,0
174,0,3,"Sivola, Mr. Antti Wilhelm",21.0,0,0,STON/O 2. 3101280,7.925,1,-0.6422256047862709,-0.48857985158126105,0,1,0,0,1,0,1
175,0,1,"Smith, Mr. James Clinch",56.0,0,0,17764,30.6958,1,2.0460090912354123,-0.03035427442131069,0,1,1,0,0,0,1
176,0,3,"Klasen, Mr. Klas Albin",18.0,1,1,350404,7.8542,3,-0.8726457215881294,-0.4900045872454856,0,1,0,0,1,1,0
177,0,3,"Lefebre, Master. Henry Forbes",28.0,3,1,4133,25.4667,5,-0.10457866558193422,-0.13558146738453974,0,1,0,0,1,1,0
178,0,1,"Isham, Miss. Ann Elizabeth",50.0,0,0,PC 17595,28.7125,1,1.5851688576316951,-0.07026498406617734,1,0,1,0,0,0,1
